time,ego_x,ego_y,Steer,GazeOrigin,EyeHitSite,EyeHitType,vehicle_1_x,vehicle_1_y,vehicle_1_z,vehicle_2_x,vehicle_2_y,vehicle_2_z,vehicle_3_x,vehicle_3_y,vehicle_3_z,ego_x_vel,ego_x_acc,ego_y_vel,ego_y_acc,ego_x_acc_jerk,ego_y_acc_jerk,TTC_1,TTC_2,TTC_3,TTC_MIN,position,lateral_offset,collision,Steer_rate
5.4,3316.13575,4247.187940000001,0.009,x=331593.656_y=424757.906_z=261.012,x=331276.469_y=424386.156_z=144.892,3.0,3316.422395833333,4247.894375,140.819,,,,,,,-2.6516980118141404,-1.273760430937867,-2.8931687167514952,-1.4703645529957867,-3.9959108995335066,-4.367550557570323,0.21378348433008418,,,0.21378348433008418,0.0,0.06656122366863856,0,-0.003989434693560981
5.5,3315.84975,4246.875002,0.009,x=331562.750_y=424724.000_z=261.990,x=331255.844_y=424358.406_z=145.033,3.0,3316.3932812499997,4247.85921875,140.854004,,,,,,,-2.7919413733962646,-1.4420378250030987,-3.054763740226016,-1.6598091825812105,-1.682773940652318,-1.8944462958542374,0.29716132209002244,,,0.29716132209002244,0.0,0.060562723775777615,0,-0.0024210527628121567
5.6,3315.5706259999997,4246.568751999999,0.009,x=331535.094_y=424693.656_z=261.988,x=331237.844_y=424335.438_z=145.140,3.0,3316.349625,4247.8065625,140.983002,,,,,,,-2.930915856655883,-1.6334426009968035,-3.215721913384784,-1.8784636439087197,-1.9140477599370476,-2.186544613275092,0.42262996280240783,,,0.42262996280240783,0.0,0.05486058330207106,0,-0.0005842298904073571
5.7,3315.2512519999996,4246.2175640000005,0.009,x=331499.438_y=424654.438_z=263.004,x=331202.375_y=424292.156_z=145.327,3.0,3316.2699374999997,4247.7104375,141.121994,,,,,,,-3.141661508628875,-1.9978892084086821,-3.4563703059480306,-2.2915205938884737,-3.644466074118786,-4.130569499797541,0.5163617937453635,,,0.5163617937453635,0.0,0.04847754522491732,0,-0.0005842298904073563
5.8,3314.91644,4245.848252,0.009,x=331474.688_y=424627.188_z=263.990,x=331176.688_y=424262.312_z=145.443,3.0,3316.1551874999996,4247.572,141.334,,,,,,,-3.3854395387835283,-2.3376997678654705,-3.7355117090220142,-2.684866232550749,-3.398105594567884,-3.933456386622751,0.6655196383200095,,,0.6655196383200095,0.0,0.04199500598679662,0,-0.0024210527628121528
5.9,3314.5498780000003,4245.442626,0.008,x=331433.750_y=424582.031_z=264.001,x=331132.031_y=424213.344_z=145.589,3.0,3316.0124375,4247.399687499999,141.399994,3276.7796875,4194.21875,,,,,-3.636427923490161,-2.584715210203357,-4.025390713782072,-2.9837187569263657,-2.4701544233788653,-2.9885252437561682,0.7556883547216591,,,0.7556883547216591,0.0,0.035133034356718475,0,-0.003989434693560974
6.0,3314.167314,4245.017812,0.008,x=331395.062_y=424539.094_z=264.003,x=331088.844_y=424162.844_z=145.149,3.0,3315.8324999999995,4247.1826249999995,141.712006,3276.7796875,4194.21859375,,,,,-3.916691099039369,-2.8850495653487496,-4.350639327852575,-3.3487362001384455,-3.0033435514539253,-3.6501744321207985,0.9411198381029374,11.03535799350012,,0.9411198381029374,0.0,0.028241094461010505,0,-0.0024197144565660054
6.1,3313.737,4244.538374000001,0.008,x=331351.469_y=424490.625_z=264.998,x=331043.031_y=424106.719_z=144.682,3.0,3315.6186875,4246.924499999999,142.117004,3276.779479166666,4194.2184375,114.119003,,,,-4.24684639950279,-3.287955176517099,-4.7351202356277025,-3.8366382606311014,-4.029056111683493,-4.879020604926558,0.9815257180719239,9.695057124690502,,0.9815257180719239,0.0,0.020780338563684077,0,-0.0005399112742070436
6.2,3313.285438,4244.033,0.008,x=331307.844_y=424441.875_z=265.005,x=330998.844_y=424055.562_z=144.233,3.0,3315.3783750000002,4246.6343125,142.621994,3276.779296875,4194.2182031249995,114.119003,,,,-4.617450075619267,-3.7047216858499574,-5.170018169792906,-4.349119806391366,-4.167665093328585,-5.124815457602647,1.1071991899990612,9.11672432365799,,1.1071991899990612,0.0,0.013363089694268734,0,-4.4318616200312616e-05
6.3,3312.7796240000002,4243.464436,0.008,x=331259.188_y=424387.281_z=264.998,x=330953.375_y=424000.062_z=143.769,3.0,3315.0998124999996,4246.2979375,143.220001,3276.779,4194.2178125,114.119003,,,,-5.045864283233939,-3.9280491281419208,-5.675132499717816,-4.64762036068813,-2.2332744229196333,-2.985005542967638,1.1272169343335092,8.021277484533588,,1.1272169343335092,0.0,0.005504940427547588,0,-2.6766124922948335e-06
