time,ego_x,ego_y,Steer,GazeOrigin,EyeHitSite,EyeHitType,vehicle_1_x,vehicle_1_y,vehicle_1_z,vehicle_2_x,vehicle_2_y,vehicle_2_z,vehicle_3_x,vehicle_3_y,vehicle_3_z,ego_x_vel,ego_x_acc,ego_y_vel,ego_y_acc,ego_x_acc_jerk,ego_y_acc_jerk,TTC_1,TTC_2,TTC_3,TTC_MIN,position,lateral_offset,collision,Steer_rate
6.6,3315.343436,4249.05025,-0.017,x=331504.375_y=424927.406_z=250.008,x=331269.781_y=424484.281_z=208.207,2,3316.4040625,4247.872395833333,140.819,,,,,,,-5.986707152211441,1.24055361218995,-7.261570677033738,1.9302734547072726,1.446787551581905,3.945626586829809,0.17037135084329041,,,0.17037135084329041,0,-0.4469659508922241,0,-0.005136629103320718
6.7,3314.7832499999995,4248.3765,-0.014,x=331457.562_y=424871.094_z=250.995,x=331205.906_y=424407.688_z=204.261,2,3316.364609375,4247.8247656250005,140.895004,3276.7796875,4194.21875,,,,,-5.802184222602608,1.6378913965894606,-6.986055976678726,2.4426707446254667,3.973377843995105,5.123972899181941,0.20566303974980113,,,0.20566303974980113,0,-0.4476452946731175,0,0.027652373988401396
6.8,3314.205002,4247.685312,-0.007,x=331382.812_y=424782.125_z=251.997,x=331134.344_y=424328.969_z=205.202,2,3316.3178125,4247.76825,141.052994,3276.7796875,4194.21859375,,,,,-5.608506656529805,2.0025589174894187,-6.711518624896195,2.7873832037483064,3.6466752089995813,3.4471245912283965,0.25542922921736205,7.24304632894262,,0.25542922921736205,0,-0.44912681833793533,0,0.05271812376096345
6.9,3313.678502,4247.059062,0.0,x=331342.344_y=424734.094_z=252.998,x=331071.219_y=424248.406_z=204.870,2,3316.218625,4247.6485625000005,141.242996,3276.779479166666,4194.218333333333,114.119003,,,,-5.381865616593945,2.3968064314239643,-6.416464153084189,3.089997955754656,3.942475139345456,3.026147520063498,0.3934722324331719,7.880495335942493,,0.3934722324331719,0,-0.4510370537021377,0,0.054870228132794185
7.0,3313.1458780000003,4246.425186,0.002,x=331285.688_y=424666.812_z=253.031,x=331020.375_y=424189.344_z=202.246,2,3316.0846875,4247.4869375,141.358002,3276.779296875,4194.218046875,114.119003,,,,-5.085543643022961,2.854417999587212,-6.060555814033306,3.4371925861047203,4.5761156816324755,3.4719463035006415,0.5055874968535311,7.687821467038608,,0.5055874968535311,0,-0.4529072853691273,0,0.04779973813278759
7.1,3312.6981260000002,4245.890748,0.008,x=331241.594_y=424614.438_z=253.015,x=331013.875_y=424146.875_z=210.371,2,3315.9285625,4247.2985,141.522995,3276.7790625,4194.21775,114.119003,,,,-4.733145273862337,3.0501920017362885,-5.657942421203883,3.4802998318811023,1.9577400214907659,0.4310724577638192,0.7787381655395322,9.030940573856778,,0.7787381655395322,0,-0.454193983102278,0,0.05389410592992962
7.2,3312.2416880000005,4245.342247999999,0.016,x=331191.438_y=424554.125_z=254.002,x=330990.469_y=424099.375_z=202.033,2,3315.7344375000002,4247.064125,141.942993,3276.7785624999997,4194.2170625,114.119003,,,,-4.459236882240595,2.8021408743899823,-5.364938376065783,3.026901326785632,-2.480511273463062,-4.533985050954703,0.9515339565671148,8.729966456255688,,0.9515339565671148,0,-0.45483301557627814,0,0.05572890700720576
7.3,3311.826188,4244.837998,0.019,x=331158.844_y=424514.625_z=253.987,x=330927.594_y=423976.719_z=186.724,2,3315.5004375000003,4246.7816875,142.317993,3276.777875,4194.2161875,114.119003,,,,-4.232067708281123,2.4704309882125486,-5.139530770126737,2.517413423040749,-3.317098861774337,-5.0948790374488295,1.4503133437774876,9.439454877935088,,1.4503133437774876,0,-0.4545143965339126,0,0.03843697129423577
7.4,3311.4163759999997,4244.334436,0.02,x=331113.844_y=424459.406_z=254.014,x=330717.594_y=423717.688_z=142.596,3,3315.2366875,4246.46325,142.882004,3276.7770625000003,4194.215125000001,114.119003,3265.7625,4186.7128125,,-3.99797584193827,2.3058293663609346,-4.91193671202967,2.2520582315050324,-1.6460162185161398,-2.6535519153571663,1.8546482707910692,9.403287936637234,,1.8546482707910692,0,-0.4530685963242499,0,0.024181264822185675
7.5,3311.0541879999996,4243.883435999999,0.022,x=331077.469_y=424414.219_z=253.999,x=330609.219_y=423598.250_z=142.519,3,3314.95775,4246.126375,143.509003,3276.776125,4194.214,114.119003,3265.7623437499997,4186.71265625,,-3.770288565873636,2.173122132730083,-4.6941378986654,2.0587482998235758,-1.3270723363085146,-1.933099316814566,3.18701384474086,10.459772912733674,12.614321250759144,3.18701384474086,0,-0.45070629985850746,0,0.03013865081802679
