filename,driver,semantics,durations,lateral,longitudinal,safe,law,average,variance,category
1_A1.,1_A,"['缓慢加速，右偏', '激烈减速，左偏', '缓慢加速，右偏', '激烈减速，左偏']","[3.4, 1.7, 3.2, 2.6]",0,0,65.39459259,100,41.34864815,2479.203308,poor
1_A2.,1_A,"['激烈加速，右偏', '不加速，右偏', '激烈减速，左偏换道', '不加速，右偏', '激烈加速，右偏', '激烈减速，左偏换道']","[1.3, 1.4, 2.2, 1.2, 2.8, 2.7]",68.40518873,69.0669793,30.74664191,100,67.05470248,803.1803207,good
1_A3.,1_A,"['缓慢加速，直行', '激烈减速，左偏', '缓慢加速，直行', '激烈减速，左偏', '缓慢加速，直行', '激烈减速，左偏']","[2.5, 1.2, 1.1, 2.7, 1.7, 2.0]",0,0,49.06615941,100,37.26653985,2284.102676,poor
1_A4.,1_A,"['缓慢加速，右偏', '激烈减速，左偏换道', '激烈加速，直行', '激烈减速，左偏换道']","[3.6, 3.4, 1.3, 3.3]",61.8598135,70.86971084,45.75664386,100,69.62154205,518.0621429,good
1_B1.,1_B,"['不加速，右偏', '缓慢加速，左偏换道', '激烈减速，右偏', '缓慢加速，左偏换道']","[1.3, 3.6, 1.9, 4.8]",62.86656384,71.27831626,39.24175419,100,68.34665857,629.2185126,good
1_B2.,1_B,"['缓慢加速，左偏', '激烈减速，左偏', '缓慢加速，左偏', '激烈减速，左偏']","[1.1, 2.0, 3.1, 4.6]",0,0,41.39866673,100,35.34966668,2238.484623,poor
1_B3.,1_B,"['缓慢加速，左偏', '缓慢减速，右偏', '缓慢加速，左偏', '缓慢减速，右偏', '缓慢加速，左偏', '缓慢减速，右偏']","[1.7, 1.6, 1.3, 3.9, 1.6, 1.5]",0,0,70.15851808,100,42.53962952,2561.24578,poor
1_B4.,1_B,"['缓慢加速，左偏', '激烈减速，左偏换道', '缓慢加速，左偏', '缓慢减速，直行', '缓慢加速，左偏']","[2.4, 1.3, 2.7, 3.6, 1.6]",73.20575359,71.82095317,75,100,80.00667669,179.3528043,excellent
1_C1.,1_C,"['缓慢减速，左偏', '缓慢加速，右偏', '缓慢减速，左偏', '缓慢加速，右偏']","[2.2, 1.3, 4.4, 3.7]",57.73788968,75,25,100,64.43447242,992.1529869,poor
1_C2.,1_C,"['缓慢加速，直行', '不加速，直行', '激烈减速，右偏换道', '缓慢加速，直行', '不加速，直行']","[1.3, 1.4, 3.2, 1.3, 4.4]",68.16766686,75,42.17940318,100,71.33676751,565.0650876,excellent
1_C3.,1_C,"['缓慢减速，直行', '缓慢加速，左偏', '缓慢减速，直行']","[3.7, 1.3, 6.6]",75,75,75,100,81.25,156.25,excellent
1_C4.,1_C,"['缓慢减速，左偏', '不加速，左偏', '缓慢减速，左偏', '缓慢加速，右偏', '不加速，左偏']","[1.3, 2.6, 2.8, 2.2, 2.7]",71.03085091,75,75,100,80.25771273,176.7266574,excellent
1_D1.,1_D,"['激烈减速，直行', '激烈加速，直行', '激烈减速，直行', '缓慢加速，左偏']","[1.2, 2.1, 3.5, 4.8]",61.90064212,28.56364512,75,100,66.36607181,884.9164558,good
1_D2.,1_D,"['不加速，直行', '激烈减速，直行', '不加速，直行', '激烈减速，直行', '激烈加速，左偏换道']","[2.6, 2.5, 1.3, 2.3, 1.5]",0,0,57.55243126,100,39.38810781,2368.863398,poor
1_D3.,1_D,"['不加速，左偏', '激烈加速，直行', '激烈减速，直行', '激烈加速，直行', '激烈减速，直行', '不加速，左偏']","[1.2, 1.1, 3.4, 2.0, 1.4, 2.4]",58.33643859,52.81459962,75,100,71.53775955,448.9726111,excellent
1_D4.,1_D,"['激烈加速，左偏换道', '激烈减速，右偏', '激烈加速，左偏换道', '激烈减速，右偏']","[2.4, 2.6, 2.5, 4.0]",0,0,37.07737241,100,34.2693431,2225.726679,poor
2_A1.,2_A,"['缓慢减速，右偏', '缓慢加速，右偏']","[1.3, 10.3]",57.60530529,60.03627539,25,100,60.66039517,942.9971305,poor
2_A2.,2_A,"['激烈减速，直行', '缓慢加速，左偏', '激烈减速，直行', '缓慢加速，左偏']","[2.1, 1.8, 2.2, 5.3]",0,0,25,100,31.25,2239.583333,poor
2_A3.,2_A,"['激烈减速，直行', '缓慢加速，直行', '激烈减速，直行', '缓慢加速，直行', '激烈减速，直行', '缓慢加速，直行']","[1.2, 2.8, 1.4, 2.2, 1.2, 2.2]",0,0,25,100,31.25,2239.583333,poor
2_A4.,2_A,"['缓慢加速，左偏', '缓慢减速，右偏', '缓慢加速，左偏', '缓慢减速，右偏', '缓慢加速，左偏']","[1.7, 1.3, 4.2, 1.4, 1.7]",0,0,25,100,31.25,2239.583333,poor
3_A1.,3_A,"['缓慢加速，直行', '激烈减速，直行', '缓慢加速，直行']","[2.5, 2.7, 4.6]",0,0,48.4500414,100,37.11251035,2279.350938,poor
3_A2.,3_A,"['缓慢减速，左偏', '缓慢加速，直行', '缓慢减速，左偏']","[2.0, 3.8, 3.0]",0,0,52.42282227,100,38.10570557,2313.324369,poor
3_A3.,3_A,"['激烈加速，右偏', '缓慢减速，直行', '激烈加速，右偏']","[1.6, 4.2, 2.5]",0,0,41.25919307,100,35.31479827,2237.927035,poor
3_A4.,3_A,"['缓慢加速，直行', '缓慢减速，直行', '缓慢加速，直行']","[1.7, 4.0, 3.6]",0,0,57.15238466,100,39.28809617,2364.059024,poor
3_B1.,3_B,"['激烈加速，直行', '缓慢减速，左偏', '激烈加速，直行', '缓慢减速，左偏']","[1.3, 2.6, 5.7, 2.0]",61.13772417,49.31094895,44.92916171,100,63.84445871,627.8536481,good
3_B2.,3_B,"['激烈减速，左偏', '缓慢减速，直行', '激烈加速，直行', '缓慢减速，直行']","[1.5, 1.2, 7.7, 1.2]",50.69216305,55.6741819,54.06012173,100,65.10661667,545.4401832,good
3_B3.,3_B,"['缓慢加速，右偏', '激烈减速，直行']","[5.2, 5.7]",0,0,56.18555874,100,39.04638968,2352.778274,poor
3_B4.,3_B,"['缓慢加速，右偏', '激烈减速，左偏换道', '缓慢加速，右偏', '激烈减速，左偏换道', '缓慢加速，右偏', '激烈减速，左偏换道']","[2.6, 1.8, 3.0, 1.7, 1.3, 1.2]",23.0985491,18.19370184,25,100,41.57306273,1525.425192,poor
3_C1.,3_C,"['激烈减速，左偏', '缓慢加速，右偏', '缓慢减速，左偏', '缓慢加速，右偏', '激烈减速，左偏']","[1.2, 3.3, 2.1, 2.2, 2.8]",62.74804368,54.64667196,25,100,60.59867891,953.2587331,poor
3_C2.,3_C,['不加速，直行'],[11.6],0,0,44.98605644,100,36.24651411,2256.168711,poor
3_C3.,3_C,"['不加速，直行', '激烈减速，右偏']","[6.2, 3.2]",0,0,33.61490676,100,33.40372669,2222.242043,poor
3_C4.,3_C,"['缓慢加速，右偏', '缓慢减速，左偏', '缓慢加速，右偏', '缓慢减速，左偏']","[3.7, 1.3, 2.1, 3.3]",0,0,41.4297014,100,35.35742535,2238.610016,poor
3_D1.,3_D,['缓慢加速，左偏'],[11.6],58.97572157,65.84156821,25,100,62.45432244,945.3594236,poor
3_D2.,3_D,"['缓慢加速，右偏', '激烈减速，左偏', '缓慢加速，右偏', '激烈减速，左偏', '缓慢加速，右偏', '激烈减速，左偏']","[1.1, 1.3, 3.0, 1.5, 2.1, 1.8]",0,0,25,100,31.25,2239.583333,poor
3_D3.,3_D,"['激烈加速，左偏', '缓慢减速，直行']","[8.4, 3.2]",0,0,25,100,31.25,2239.583333,poor
3_D4.,3_D,"['缓慢加速，直行', '激烈减速，直行', '缓慢加速，直行', '激烈减速，直行', '缓慢加速，直行']","[1.7, 1.2, 2.6, 1.2, 4.2]",0,0,42.25841262,100,35.56460315,2242.136482,poor
3_E1.,3_E,"['缓慢加速，右偏', '激烈减速，左偏', '缓慢加速，右偏', '激烈减速，左偏']","[3.2, 1.5, 3.5, 3.3]",0,0,43.76973323,100,35.94243331,2249.451833,poor
